﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
spotify:track:0qs2lEMAMQ47jijRZEKvye,Closer to the Speed of Sound,Duster,"Transmission, Flux",1,4,179333,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-07T11:32:41Z
spotify:track:2u24s40bXEMu896fEs1L9L,Black Cat,Broadcast,Tender Buttons,1,2,238440,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-07T12:05:46Z
spotify:track:2x3QOPnAfn57SFG8EOafDm,Ceremony,Galaxie 500,On Fire,1,12,358880,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-07T12:09:10Z
spotify:track:4qUzfjdggcxjkRWNhw38KF,Stratosphere,Duster,Stratosphere,1,12,417533,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-08T08:55:06Z
spotify:track:7iN61EqBOruWxwVt57aDTi,Shadows of Planes,Duster,Stratosphere,1,14,110133,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-08T09:08:28Z
spotify:track:6vmTFgwtpz0UTeSEDzE4L9,Earth Moon Transit,Duster,Stratosphere,1,15,263493,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-08T09:08:34Z
spotify:track:1prRgvsF1hNFw84SuUnCCZ,グッド・ラック,Shintaro Sakamoto,あなたもロボットになれる c/w グッド・ラック,1,2,247306,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-08T10:13:59Z
spotify:track:0hpO4xnuzoW0jjJVP3mOrq,"Echo, Bravo",Duster,Stratosphere,1,7,272040,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-08T17:15:50Z
spotify:track:1t72VmMNPkZIf83FmpCJAx,Yoru no Omoi,Fishmans,Orange,1,9,341800,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-11T02:43:19Z
spotify:track:30h54ZHSjOjy6OqHntEzY5,Oh! Crime,Fishmans,Oh! Mountain,1,1,225093,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-11T02:51:43Z
spotify:track:3XerBkjkILRc48huk5NkLG,Cold - Remastered Version,The Cure,Pornography,1,7,266573,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-11T23:42:06Z
spotify:track:19yGmm9FjEZdZc5j98WDe4,Subterranean Homesick Alien,Radiohead,OK Computer,1,3,267693,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-12T00:36:40Z
spotify:track:590O6FN1pM7u2tlUpK4Xc0,Too Much Money,John Maus,Love Is Real,1,11,204186,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-12T05:13:18Z
spotify:track:6CGMZijOAZvTXG21T8t6R0,Innerbloom,RÜFÜS DU SOL,Bloom,1,11,578040,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-12T08:22:41Z
spotify:track:3nsKcCygGW6wUpLQJa1e9w,The Sound Of Young America,The Voices,The Sound Of Young America,1,1,316853,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-13T06:15:53Z
spotify:track:3M2bD9SMYnJIPdrTKUnBd3,I Know It's Over - 2011 Remaster,The Smiths,The Queen Is Dead,1,3,349186,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-14T07:11:11Z
spotify:track:5Rpl8A5yTf7arQb9oVmBn0,Fine Time - 2015 Remaster,New Order,Technique,1,1,284093,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-16T05:35:40Z
spotify:track:255YBFFiVe4ldKi15PYGDv,Dream Attack - 2015 Remaster,New Order,Technique,1,9,318626,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-16T06:34:17Z
spotify:track:0e5kA1alpFRZ7PtpX7NWto,Wildflower Soul,Sonic Youth,A Thousand Leaves,1,4,541533,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-17T03:34:51Z
